app_id,project_start_date,start_cohort,project_cohort,project_cohort_post_rap,followup_eligible_12m,pub12_fractional,anypub12,followup_eligible_18m,pub18_fractional,anypub18,followup_eligible_24m,pub24_fractional,anypub24
12611,2015-06-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12653,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12703,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
12788,2016-04-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12871,2015-06-08,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12885,2015-05-11,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13017,2015-07-04,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13055,2015-07-03,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13126,2016-06-13,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13135,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13161,2016-11-01,2016H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13310,2018-11-26,2018H2,pre_rap_project_start,0,1,1.000000,1,1,1.500000,1,1,2.500000,1
13352,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13375,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13399,2017-04-13,2017H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13427,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13436,2015-09-30,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13462,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13489,2012-09-24,2012H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.500000,1
13539,2015-07-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
