frequency,control_definition,outcome,event_time,estimate,clustered_se,p_value,ci_low,ci_high,reference_period,model
quarter,CONTROL_C06,publication_count,-2,-0.108268,0.047312,0.022115,-0.200999,-0.015537,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,0,-0.119563,0.054727,0.028909,-0.226828,-0.012298,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,1,-0.043537,0.039896,0.275162,-0.121733,0.034660,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,2,-0.105091,0.046532,0.023917,-0.196295,-0.013888,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,3,-0.078801,0.048522,0.104371,-0.173904,0.016302,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,4,-0.054861,0.048271,0.255741,-0.149473,0.039751,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,5,-0.070765,0.055370,0.201233,-0.179291,0.037760,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,6,-0.122937,0.049858,0.013672,-0.220658,-0.025216,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,7,-0.040170,0.050059,0.422285,-0.138286,0.057945,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,-8,-0.027135,0.030621,0.375544,-0.087152,0.032883,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,-7,-0.045418,0.031449,0.148687,-0.107058,0.016222,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,-6,-0.010814,0.030752,0.725103,-0.071087,0.049459,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,-5,0.011153,0.026777,0.677042,-0.041329,0.063634,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,-4,-0.011382,0.028269,0.687208,-0.066790,0.044025,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,-3,0.026210,0.027727,0.344509,-0.028135,0.080555,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,-2,-0.047883,0.027320,0.079661,-0.101430,0.005665,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,0,-0.045794,0.028449,0.107467,-0.101555,0.009966,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,1,-0.019848,0.026332,0.450998,-0.071458,0.031763,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,2,-0.048483,0.026018,0.062404,-0.099479,0.002513,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,3,-0.051164,0.028685,0.074485,-0.107388,0.005059,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,4,-0.034498,0.027644,0.212053,-0.088679,0.019684,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,5,-0.030238,0.028042,0.280899,-0.085202,0.024725,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,6,-0.045171,0.028047,0.107276,-0.100142,0.009801,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,any_publication,7,-0.020230,0.026986,0.453473,-0.073122,0.032663,2024Q2,app_fe_quarter_fe_project_age_bin_fe
