design,frequency,control_definition,outcome,model,coefficient,cluster,n_obs,n_apps,n_treated_apps,n_control_apps,estimate,clustered_se,p_value,ci_low,ci_high,warning,note
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,50379,3455,3324,131,-0.005467,0.012645,0.665514,-0.030252,0.019318,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe,treated_x_stable_post,application,48060,3455,3324,131,0.000691,0.013092,0.957920,-0.024969,0.026351,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,37104,2319,2229,90,-0.019315,0.014357,0.178510,-0.047455,0.008824,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,38587,2647,2532,115,-0.007053,0.012426,0.570289,-0.031408,0.017302,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,32203,2248,2151,97,-0.007521,0.013072,0.565030,-0.033142,0.018099,,active-project exposure robustness using pre-treatment start date only
Q0_quarterly_incumbent_did,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,52034,3488,3191,297,-0.021212,0.024120,0.379170,-0.068488,0.026064,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_post,institution,52034,3488,3191,297,-0.021212,0.024232,0.381364,-0.068706,0.026282,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,52034,3488,3191,297,-0.033611,0.023250,0.148276,-0.079180,0.011958,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,50894,3488,3191,297,-0.021353,0.023977,0.373165,-0.068349,0.025642,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_stable_post,application,48546,3488,3191,297,-0.013453,0.024599,0.584452,-0.061667,0.034761,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_quarterly_exclude_top1pct_publication_apps,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,51069,3426,3151,275,-0.018662,0.017764,0.293443,-0.053479,0.016154,,excluded_top_1pct_apps=72
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,37568,2348,2114,234,-0.020693,0.025392,0.415110,-0.070461,0.029076,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,39042,2676,2460,216,-0.048862,0.025519,0.055532,-0.098880,0.001156,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C06,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,32562,2271,2103,168,-0.065545,0.030715,0.032848,-0.125747,-0.005343,,active-project exposure robustness using pre-treatment start date only
Q0_quarterly_incumbent_did,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,52034,3488,3191,297,-0.015964,0.012111,0.187458,-0.039701,0.007774,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe,treated_x_post,institution,52034,3488,3191,297,-0.015964,0.012342,0.195844,-0.040154,0.008226,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,52034,3488,3191,297,-0.024450,0.011560,0.034426,-0.047108,-0.001792,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,50894,3488,3191,297,-0.016660,0.012095,0.168407,-0.040367,0.007048,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe,treated_x_stable_post,application,48546,3488,3191,297,-0.013560,0.012711,0.286041,-0.038474,0.011353,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,37568,2348,2114,234,-0.020403,0.012864,0.112711,-0.045616,0.004809,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,39042,2676,2460,216,-0.029537,0.013255,0.025852,-0.055516,-0.003558,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C06,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,32562,2271,2103,168,-0.039461,0.015422,0.010505,-0.069689,-0.009234,,active-project exposure robustness using pre-treatment start date only
