app_id	pub_id
12611	8548
12611	8685
12611	9024
12611	9100
12611	10028
12611	13228
12611	13853
12611	14133
12653	4073
12703	2003
12703	2736
12703	2904
12703	3142
12703	5959
12703	7348
12703	8134
12703	8680
12703	9235
12703	10595
12788	5864
12788	7730
12788	8894
12788	9406
12788	10209
12871	7734
12885	3183
12885	3988
12885	4197
12885	4503
12885	7517
12885	8473
12885	8879
13017	7661
13055	5671
13310	4193
13310	4194
13310	5834
13310	7699
13310	8194
13310	10025
13310	10345
13310	10381
13310	10421
13310	12191
13310	13127
13310	16049
13310	16292
13310	18034
13310	18516
13310	18526
13375	4025
13375	5458
13375	8921
13427	7284
13427	10589
13436	4004
13436	4745
13436	12400
13436	12574
13489	7383
13489	7384
13489	8406
13721	2157
13721	2164
13721	2167
13721	2168
13721	2793
13721	2794
13721	2795
13721	2830
13721	2832
13721	2850
13721	2889
13721	3922
13721	3992
13721	4565
13721	4590
13721	4911
13721	5051
13721	5530
13721	8168
13721	9102
13721	9266
13721	10286
13721	10375
13721	10710
13721	12472
13721	12528
13721	13077
13745	1837
13745	3994
13745	5880
13745	9652
13745	9657
13745	12026
13745	12606
13784	4179
13784	9591
13784	11504
13784	12061
13797	10273
13797	14023
13869	3953
13869	14649
13933	1627
13933	4419
14048	10816
14069	3907
14069	8471
14069	8689
14095	13741
14105	3368
14105	3900
14105	3901
14105	3902
14105	3903
14105	3914
14105	4146
14105	4202
14105	4509
14105	4618
14105	4910
14105	5190
14105	5459
14105	5871
14105	7353
14105	7544
14105	8995
14105	10307
14105	10616
14105	11549
14105	12916
14105	13119
14105	14464
14105	15176
14105	15930
14105	18809
14146	2834
14146	5311
14151	1623
14151	2178
14151	2798
14151	2836
14151	3687
14151	3688
14151	3689
14151	4584
14151	4851
14151	5429
14151	5431
14151	5520
14151	7145
14151	7176
14151	7326
14151	8353
14151	8448
14151	9329
14151	9538
14151	10026
14151	10041
14151	10699
14151	10733
14151	11072
14151	12068
14151	13710
14151	13712
14151	13885
14151	14031
14151	14146
14151	14546
14151	18792
14237	3073
14237	3665
14237	4358
14237	5940
14237	9736
14237	9885
14237	10104
14237	12429
14237	12732
14237	15108
14237	20574
14259	10248
14259	11882
14259	13080
14292	8446
14302	3944
14302	5137
14302	7478
14421	784
14421	1702
14421	3445
14421	4194
14421	4226
14421	4540
14421	4599
14421	5364
14421	7421
14421	7423
14421	8195
14421	8676
14421	10025
14421	10687
14568	4117
14568	5230
14568	5759
14568	14436
14568	16276
14575	4003
14575	4054
14575	4607
14575	4654
14575	4768
14575	5106
14575	5857
14575	6012
14575	7951
14575	8478
14575	8525
14575	8837
14575	8884
14575	9191
14575	10046
14575	10335
14575	11005
14575	11822
14575	12484
14575	13941
14575	16561
14575	17236
14575	18342
14575	18589
14631	736
14631	1624
14631	3846
14631	3889
14631	4352
14631	4462
14631	4898
14631	5124
14631	5345
14631	5598
14631	5797
14631	5873
14631	5883
14631	5897
14631	5994
14631	7107
14631	8564
14631	9874
14631	9882
14631	10120
14631	10190
14631	10289
14631	11219
14631	11509
14631	12003
14631	12200
14631	12211
14631	12396
14631	12532
14631	13145
14631	13758
14631	13759
14631	13827
14631	14478
14631	16124
14631	17571
14631	18005
14631	18253
14631	18368
14631	18397
14631	18444
14649	10321
14649	11801
14649	16119
14654	4251
14654	13900
14654	14112
14770	5207
14791	8444
14801	2804
14801	2835
14801	5149
14801	10965
14801	13875
14829	8582
14840	4247
14864	2152
14864	2157
14864	2841
14864	3620
14864	10038
14872	5515
14935	2563
14935	7320
14990	3984
14990	4256
14990	4307
14990	4649
14990	4689
14990	5656
14990	7173
14990	7208
14990	9792
14990	10274
14990	10344
14990	11085
14990	11484
14990	12531
14990	18145
15008	2848
15008	2853
15008	3274
15008	4021
15008	4313
15008	5622
15008	8273
15008	12457
15008	13762
15031	2858
15031	4957
15031	5020
15031	8470
15031	8502
15031	9213
15031	9313
15031	12251
15031	12687
15031	13822
15110	4102
15110	4268
15110	4872
15147	4692
15147	7918
15147	9597
15147	11031
15147	11464
15147	11957
15147	14816
15147	15677
15147	15749
15147	17114
15147	17334
15152	4600
15152	8481
15152	8687
15152	11526
15152	16644
15152	18769
15152	20271
15168	2866
15168	5989
15168	10593
15168	12654
15168	16709
15175	3138
15175	9775
15175	10687
15181	7204
15181	8545
15181	14614
15181	17432
15255	3909
15255	4071
15255	4367
15255	4759
15255	7567
15255	7620
15255	8760
15255	9632
15255	9706
15255	12438
15255	13727
15255	13773
15255	13846
15255	15610
15255	16708
15255	17722
15255	19419
15255	20404
15293	8500
15293	8511
15326	3460
15326	3461
15326	3462
15326	3463
15326	4342
15326	4406
15326	5977
15326	7324
15326	7501
15326	8104
15326	8482
15326	10362
15326	10525
15326	10940
15326	11986
15326	12695
15326	14066
15326	14097
15326	15217
15326	15829
15326	18485
15326	19170
15326	20260
15357	10411
15390	4858
15422	11518
15422	11573
15422	14315
15479	4398
15479	5007
15479	9458
15479	10369
15479	16534
15595	4604
15595	4622
15595	10896
15595	12240
15666	2878
15666	17000
15666	18686
15678	2263
15678	3276
15678	5290
15678	5506
15678	5537
15678	7178
15678	10695
15678	11279
15678	12620
15678	12929
